Previous_Crop,Soil_Type,State,Recommended_Crop,Alternative_Crop,Reason
Wheat,Clayey,Punjab,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Odisha,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,Punjab,Potato,Rice,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Odisha,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,Odisha,Maize,Potato,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,Odisha,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Maharashtra,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Punjab,Green Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Green Gram,Red,Uttar Pradesh,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Rice,Sandy,Punjab,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Punjab,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Laterite,Odisha,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Maharashtra,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,Punjab,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Tamil Nadu,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Maize,Laterite,Maharashtra,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Maize,Black,Tamil Nadu,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Uttar Pradesh,Soybean,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,West Bengal,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Odisha,Black Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Uttar Pradesh,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,West Bengal,Chickpea,Cowpea,Legume-based nutrient restoration and pest cycle break
Black Gram,Laterite,Odisha,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,West Bengal,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Green Gram,Red,Maharashtra,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Mustard,Laterite,Tamil Nadu,Rice,Cowpea,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,Maharashtra,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,West Bengal,Groundnut,Cotton,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,Uttar Pradesh,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Odisha,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Tamil Nadu,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Cowpea,Clayey,Tamil Nadu,Rice,Potato,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,Odisha,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,West Bengal,Groundnut,Chickpea,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Uttar Pradesh,Green Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Punjab,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,West Bengal,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,Tamil Nadu,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Maharashtra,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,West Bengal,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Maize,Red,Uttar Pradesh,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Uttar Pradesh,Pigeon Pea,Soybean,Legume-based nutrient restoration and pest cycle break
Sugarcane,Laterite,Tamil Nadu,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Uttar Pradesh,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Mustard,Red,Tamil Nadu,Maize,Cowpea,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Odisha,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Cowpea,Red,Tamil Nadu,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,West Bengal,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,West Bengal,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Black,West Bengal,Pigeon Pea,Soybean,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,Odisha,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Wheat,Sandy,Odisha,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,West Bengal,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,West Bengal,Green Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Groundnut,Sandy,Punjab,Rice,Mustard,Legume-based nutrient restoration and pest cycle break
Potato,Sandy,Uttar Pradesh,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,West Bengal,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Cowpea,Clayey,Maharashtra,Maize,Potato,Legume-based nutrient restoration and pest cycle break
Potato,Black,Tamil Nadu,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Potato,Alluvial,West Bengal,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Rice,Black,Uttar Pradesh,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Wheat,Black,Uttar Pradesh,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,Maharashtra,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Tamil Nadu,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Maharashtra,Groundnut,Chickpea,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,Maharashtra,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Cowpea,Red,Uttar Pradesh,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Maharashtra,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,Odisha,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Odisha,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Wheat,Alluvial,Uttar Pradesh,Soybean,Chickpea,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,Tamil Nadu,Wheat,Mustard,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,Odisha,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Potato,Black,Uttar Pradesh,Black Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,West Bengal,Cowpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Odisha,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Punjab,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Odisha,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Alluvial,Tamil Nadu,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Wheat,Red,Tamil Nadu,Black Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,Tamil Nadu,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,West Bengal,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,West Bengal,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,Odisha,Rice,Green Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Tamil Nadu,Lentil,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,Maharashtra,Mustard,Rice,Legume-based nutrient restoration and pest cycle break
Mustard,Red,Uttar Pradesh,Groundnut,Maize,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,West Bengal,Lentil,Soybean,Legume-based nutrient restoration and pest cycle break
Maize,Black,Maharashtra,Soybean,Groundnut,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Odisha,Cotton,Mustard,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Maharashtra,Groundnut,Green Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,West Bengal,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Green Gram,Laterite,Odisha,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,West Bengal,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Tamil Nadu,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Mustard,Laterite,Uttar Pradesh,Groundnut,Rice,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,Maharashtra,Rice,Lentil,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Maharashtra,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Wheat,Red,Uttar Pradesh,Black Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Punjab,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Rice,Red,Punjab,Groundnut,Green Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Tamil Nadu,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Punjab,Pigeon Pea,Groundnut,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,Maharashtra,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,West Bengal,Chickpea,Cowpea,Legume-based nutrient restoration and pest cycle break
Black Gram,Alluvial,Punjab,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Maharashtra,Potato,Lentil,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Maharashtra,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Uttar Pradesh,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Uttar Pradesh,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Maharashtra,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Uttar Pradesh,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Odisha,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,West Bengal,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,Uttar Pradesh,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,Punjab,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Tamil Nadu,Pigeon Pea,Groundnut,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,West Bengal,Chickpea,Wheat,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,West Bengal,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Wheat,Sandy,Odisha,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,Uttar Pradesh,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Groundnut,Sandy,West Bengal,Mustard,Rice,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Punjab,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Odisha,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Maharashtra,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Rice,Alluvial,Tamil Nadu,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Uttar Pradesh,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Maize,Laterite,Odisha,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Green Gram,Sandy,Maharashtra,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Tamil Nadu,Wheat,Cowpea,Legume-based nutrient restoration and pest cycle break
Mustard,Laterite,Tamil Nadu,Rice,Cowpea,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,West Bengal,Pigeon Pea,Groundnut,Legume-based nutrient restoration and pest cycle break
Cotton,Red,Uttar Pradesh,Cowpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Rice,Red,Maharashtra,Pigeon Pea,Black Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,Odisha,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,Punjab,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Uttar Pradesh,Maize,Mustard,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,West Bengal,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Punjab,Pigeon Pea,Black Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Tamil Nadu,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Groundnut,Sandy,Odisha,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Maize,Laterite,Odisha,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Rice,Sandy,Odisha,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Maharashtra,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,Odisha,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Uttar Pradesh,Potato,Maize,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,West Bengal,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Cowpea,Black,West Bengal,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Maharashtra,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Punjab,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Rice,Black,Punjab,Pigeon Pea,Soybean,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Odisha,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Tamil Nadu,Rice,Groundnut,Legume-based nutrient restoration and pest cycle break
Mustard,Laterite,Uttar Pradesh,Cowpea,Rice,Legume-based nutrient restoration and pest cycle break
Cowpea,Sandy,Uttar Pradesh,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,West Bengal,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Maharashtra,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Red,West Bengal,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Potato,Alluvial,Tamil Nadu,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Uttar Pradesh,Cowpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Maize,Black,Maharashtra,Pigeon Pea,Soybean,Legume-based nutrient restoration and pest cycle break
Mustard,Red,West Bengal,Pigeon Pea,Groundnut,Legume-based nutrient restoration and pest cycle break
Green Gram,Clayey,Punjab,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Rice,Alluvial,Punjab,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Chickpea,Clayey,Punjab,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Chickpea,Alluvial,Uttar Pradesh,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Tamil Nadu,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,Tamil Nadu,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,Punjab,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,Odisha,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,Tamil Nadu,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,West Bengal,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Maize,Red,Maharashtra,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Black Gram,Clayey,West Bengal,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Maharashtra,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Mustard,Laterite,Maharashtra,Cowpea,Groundnut,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,Tamil Nadu,Mustard,Cotton,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,Punjab,Maize,Lentil,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Clayey,Odisha,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Tamil Nadu,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Rice,Black,Punjab,Groundnut,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Uttar Pradesh,Mustard,Maize,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,Maharashtra,Pigeon Pea,Groundnut,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,Uttar Pradesh,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Tamil Nadu,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Groundnut,Sandy,Maharashtra,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,Maharashtra,Chickpea,Soybean,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Tamil Nadu,Soybean,Lentil,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Odisha,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Tamil Nadu,Rice,Black Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,West Bengal,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Tamil Nadu,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Black Gram,Laterite,Maharashtra,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,West Bengal,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Tamil Nadu,Lentil,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Red,West Bengal,Cowpea,Maize,Legume-based nutrient restoration and pest cycle break
Maize,Laterite,Tamil Nadu,Black Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,West Bengal,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Potato,Alluvial,Uttar Pradesh,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Red,West Bengal,Groundnut,Maize,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Red,Uttar Pradesh,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Mustard,Sandy,West Bengal,Lentil,Green Gram,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Sandy,Punjab,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Green Gram,Black,Odisha,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Cotton,Red,Punjab,Black Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Laterite,West Bengal,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,West Bengal,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Rice,Red,West Bengal,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,West Bengal,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Uttar Pradesh,Maize,Mustard,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Odisha,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Cotton,Laterite,Odisha,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Potato,Sandy,Maharashtra,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Rice,Black,Odisha,Soybean,Groundnut,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Maharashtra,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Uttar Pradesh,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Sandy,Tamil Nadu,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Soybean,Laterite,Punjab,Sugarcane,Maize,Legume-based nutrient restoration and pest cycle break
Wheat,Alluvial,West Bengal,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,Tamil Nadu,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Tamil Nadu,Groundnut,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Sandy,Punjab,Mustard,Wheat,Legume-based nutrient restoration and pest cycle break
Potato,Black,West Bengal,Green Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Lentil,Red,West Bengal,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Cowpea,Red,Maharashtra,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Alluvial,Odisha,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Wheat,Red,Maharashtra,Groundnut,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,Punjab,Soybean,Chickpea,Legume-based nutrient restoration and pest cycle break
Sugarcane,Black,Uttar Pradesh,Pigeon Pea,Black Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Clayey,Odisha,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Alluvial,Uttar Pradesh,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,West Bengal,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Maharashtra,Cowpea,Rice,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Black,West Bengal,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,Tamil Nadu,Chickpea,Green Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Tamil Nadu,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Maize,Laterite,Punjab,Groundnut,Chickpea,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Uttar Pradesh,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,West Bengal,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Maize,Black,Odisha,Pigeon Pea,Soybean,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,Uttar Pradesh,Cowpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Clayey,West Bengal,Black Gram,Green Gram,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,West Bengal,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Lentil,Red,West Bengal,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Punjab,Black Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Lentil,Laterite,West Bengal,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Black Gram,Black,West Bengal,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Lentil,Clayey,Maharashtra,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,Uttar Pradesh,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Sandy,Punjab,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Uttar Pradesh,Sugarcane,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,West Bengal,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Maize,Sandy,Maharashtra,Cowpea,Lentil,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,West Bengal,Rice,Mustard,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Odisha,Green Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Potato,Sandy,Odisha,Cowpea,Lentil,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,Punjab,Lentil,Rice,Legume-based nutrient restoration and pest cycle break
Potato,Red,Maharashtra,Groundnut,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Uttar Pradesh,Cowpea,Chickpea,Legume-based nutrient restoration and pest cycle break
Potato,Laterite,Maharashtra,Green Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Rice,Black,Odisha,Black Gram,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Wheat,Laterite,Odisha,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,West Bengal,Groundnut,Green Gram,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,Maharashtra,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Maharashtra,Maize,Mustard,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,West Bengal,Maize,Sugarcane,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Punjab,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Chickpea,Red,Odisha,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,West Bengal,Maize,Wheat,Legume-based nutrient restoration and pest cycle break
Chickpea,Laterite,West Bengal,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Uttar Pradesh,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Soybean,Alluvial,West Bengal,Wheat,Mustard,Legume-based nutrient restoration and pest cycle break
Maize,Clayey,Uttar Pradesh,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Maize,Laterite,Tamil Nadu,Groundnut,Cowpea,Legume-based nutrient restoration and pest cycle break
Wheat,Alluvial,Maharashtra,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Mustard,Red,Punjab,Pigeon Pea,Cowpea,Legume-based nutrient restoration and pest cycle break
Mustard,Black,Punjab,Groundnut,Cotton,Legume-based nutrient restoration and pest cycle break
Soybean,Red,Tamil Nadu,Wheat,Sugarcane,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Tamil Nadu,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Wheat,Sandy,Tamil Nadu,Black Gram,Chickpea,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Tamil Nadu,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Odisha,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,West Bengal,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Sunflower,Laterite,Maharashtra,Cowpea,Rice,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Punjab,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Potato,Black,Odisha,Black Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Pigeon Pea,Laterite,Uttar Pradesh,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Maharashtra,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Potato,Alluvial,Odisha,Soybean,Black Gram,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,West Bengal,Chickpea,Soybean,Legume-based nutrient restoration and pest cycle break
Cowpea,Red,Tamil Nadu,Wheat,Rice,Legume-based nutrient restoration and pest cycle break
Cotton,Alluvial,West Bengal,Green Gram,Black Gram,Legume-based nutrient restoration and pest cycle break
